name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,go,9,14,508,0.344,948,0,37% 34% 41% 19%,0.282
binarytrees,go,9,21,508,97.467,257972,0,41% 48% 41% 45%,56.287
binarytrees,hipe,1,7,420,0.175,0,0,50% 60% 0% 29%,0.137
binarytrees,hipe,1,14,420,0.264,952,0,27% 23% 57% 41%,0.217
binarytrees,hipe,1,21,420,21.631,554100,0,45% 11% 45% 2%,21.460
binarytrees,hack,1,7,451,0.296,2012,0,0% 97% 3% 0%,0.311
binarytrees,hack,1,14,451,1.092,90904,0,2% 98% 4% 0%,1.109
binarytrees,hack,1,21,451,165.982,614816,0,8% 61% 34% 3%,166.087
binarytrees,hack,4,7,742,0.413,81992,0,2% 73% 11% 11%,0.444
binarytrees,hack,4,14,742,0.642,82276,0,75% 15% 13% 19%,0.544
binarytrees,hack,4,21,742,34.163,351656,0,86% 87% 81% 63%,10.902
binarytrees,yarv,3,7,400,0.068,0,0,100% 0% 0% 0%,0.083
binarytrees,yarv,3,14,400,1.002,11036,0,99% 2% 0% 0%,1.004
binarytrees,yarv,3,21,400,182.259,433576,0,80% 21% 0% 0%,182.391
binarytrees,lua,2,7,412,0.009,0,0,100% 50% 0% 0%,0.011
binarytrees,lua,2,14,412,1.682,15700,0,100% 2% 1% 1%,1.686
binarytrees,lua,2,21,412,467.623,2312236,0,59% 1% 1% 42%,468.115
binarytrees,gpp,6,7,844,0.004,0,0,%,0.000
binarytrees,gpp,6,14,844,0.051,0,0,100% 50% 100% 50%,0.022
binarytrees,gpp,6,21,844,11.000,226000,0,37% 70% 90% 55%,4.414
binarytrees,fsharpcore,6,7,611,0.122,0,0,6% 21% 47% 44%,0.178
binarytrees,fsharpcore,6,14,611,0.267,0,0,26% 17% 84% 32%,0.190
binarytrees,fsharpcore,6,21,611,28.838,1055608,0,82% 81% 85% 83%,8.809
binarytrees,sbcl,1,7,594,0.011,0,0,67% 0% 0% 0%,0.013
binarytrees,sbcl,1,14,594,0.144,0,0,100% 7% 0% 0%,0.146
binarytrees,sbcl,1,21,594,29.739,375296,0,0% 1% 100% 0%,29.784
binarytrees,perl,1,7,395,0.010,0,0,0% 100% 0% 0%,0.088
binarytrees,perl,1,14,395,2.161,8980,0,100% 0% 0% 2%,2.164
binarytrees,perl,1,21,395,430.485,598628,0,9% 1% 1% 91%,430.664
binarytrees,gnat,5,7,2107,0.006,0,0,0% 0% 0% 75%,0.036
binarytrees,gnat,5,14,2107,0.128,0,0,44% 43% 67% 57%,0.073
binarytrees,gnat,5,21,2107,26.489,202500,0,93% 80% 73% 80%,8.270
binarytrees,ifc,2,7,1148,0.006,0,0,%,0.000
binarytrees,ifc,2,14,1148,0.138,0,0,83% 80% 75% 80%,0.042
binarytrees,ifc,2,21,1148,17.297,115892,0,63% 68% 66% 100%,5.843
binarytrees,ghc,6,7,592,0.000,0,-11,%,0.000
binarytrees,ghc,6,14,592,0.000,0,-11,%,0.000
binarytrees,ghc,6,21,592,0.000,0,-11,%,0.000
binarytrees,csharpcore,2,7,586,0.096,0,0,100% 9% 0% 0%,0.098
binarytrees,csharpcore,2,14,586,0.201,0,0,0% 5% 0% 95%,0.200
binarytrees,csharpcore,2,21,586,19.534,817300,0,37% 27% 32% 15%,17.812
binarytrees,gcc,5,7,908,0.003,0,0,%,0.000
binarytrees,gcc,5,14,908,0.306,0,0,73% 83% 83% 82%,0.113
binarytrees,gcc,5,21,908,68.465,351304,0,91% 80% 98% 91%,19.050
binarytrees,dart,1,7,457,0.200,0,0,24% 41% 6% 56%,0.171
binarytrees,dart,1,14,457,0.347,936,0,27% 6% 15% 75%,0.315
binarytrees,dart,1,21,457,48.654,550668,0,27% 63% 31% 8%,38.019
binarytrees,fsharpcore,1,7,506,0.109,0,0,8% 100% 0% 9%,0.110
binarytrees,fsharpcore,1,14,506,0.282,756,0,7% 89% 14% 4%,0.276
binarytrees,fsharpcore,1,21,506,33.026,1041376,0,30% 27% 22% 38%,28.594
